Agent_ID,Agent_Age,Agent_Rating,Rating_Category
91,33,4.4,Good
92,20,4.6,Excellent
93,31,4.3,Good
94,36,5.0,Excellent
95,31,4.2,Good
96,39,4.1,Good
97,29,4.6,Excellent
98,31,3.9,Average
99,26,4.4,Good
100,20,5.0,Excellent
101,29,4.3,Good
102,36,4.0,Good
103,38,4.4,Good
104,30,4.1,Good
105,33,4.5,Excellent
106,37,4.5,Excellent
107,25,4.9,Excellent
108,35,4.9,Excellent
109,38,3.9,Average
110,35,4.7,Excellent
111,38,4.3,Good
112,26,4.0,Good
113,26,4.1,Good
114,23,4.6,Excellent
115,26,4.8,Excellent
116,29,4.8,Excellent
117,22,4.3,Good
118,31,4.0,Good
119,30,3.9,Average
120,32,4.7,Excellent
121,27,4.5,Excellent
122,32,4.1,Good
123,39,4.4,Good
124,30,4.9,Excellent
125,30,4.6,Excellent
126,34,4.0,Good
127,36,4.6,Excellent
128,33,4.6,Excellent
129,32,4.8,Excellent
130,31,4.5,Excellent
131,21,4.0,Good
132,28,5.0,Excellent
133,38,4.8,Excellent
134,35,4.2,Good
135,27,4.2,Good
136,22,4.9,Excellent
137,32,4.4,Good
138,28,4.9,Excellent
139,30,4.7,Excellent
140,38,4.1,Good
141,32,4.3,Good
142,31,4.4,Good
143,37,3.8,Average
144,37,4.4,Good
145,39,4.0,Good
146,34,5.0,Excellent
147,28,4.5,Excellent
148,32,5.0,Excellent
149,35,3.9,Average
150,22,4.6,Excellent
151,33,4.8,Excellent
152,34,4.2,Good
153,37,4.3,Good
154,21,5.0,Excellent
155,34,4.8,Excellent
156,33,3.9,Average
157,26,4.6,Excellent
158,27,4.8,Excellent
159,37,4.1,Good
160,38,3.7,Average
161,28,4.7,Excellent
162,34,3.8,Average
163,27,4.0,Good
164,29,4.9,Excellent
165,30,4.3,Good
166,38,4.6,Excellent
167,24,4.5,Excellent
168,24,2.6,Below Average
169,21,4.4,Good
170,22,4.0,Good
171,38,4.5,Excellent
172,28,4.0,Good
173,34,4.6,Excellent
174,24,4.4,Good
175,33,4.1,Good
176,39,5.0,Excellent
177,34,4.4,Good
178,38,5.0,Excellent
179,34,3.5,Average
180,21,4.6,Excellent
181,34,3.7,Average
182,31,5.0,Excellent
183,27,4.1,Good
184,30,4.2,Good
185,23,4.2,Good
186,30,3.8,Average
187,39,4.5,Excellent
188,36,4.3,Good
189,39,3.5,Average
190,35,4.5,Excellent
191,23,4.1,Good
192,24,4.1,Good
193,25,4.5,Excellent
194,23,5.0,Excellent
195,23,2.5,Below Average
196,32,3.6,Average
197,34,3.9,Average
198,22,3.5,Average
199,35,3.6,Average
200,25,4.3,Good
201,37,4.2,Good
202,24,4.2,Good
203,20,3.9,Average
204,20,3.5,Average
205,22,5.0,Excellent
206,35,4.4,Good
207,36,4.5,Excellent
208,21,4.2,Good
209,23,4.5,Excellent
210,31,4.1,Good
211,26,4.5,Excellent
212,28,4.3,Good
213,26,3.9,Average
214,32,3.8,Average
215,29,4.0,Good
216,38,3.8,Average
217,27,4.4,Good
218,37,3.6,Average
219,28,4.1,Good
220,39,4.3,Good
221,34,4.1,Good
222,38,4.2,Good
223,20,4.4,Good
224,29,2.5,Below Average
225,30,3.7,Average
226,22,4.4,Good
227,37,4.0,Good
228,29,4.4,Good
229,21,4.5,Excellent
230,27,4.3,Good
231,33,4.0,Good
232,35,3.7,Average
233,20,2.5,Below Average
234,23,2.6,Below Average
235,20,4.3,Good
236,38,4.0,Good
237,22,3.1,Below Average
238,22,4.2,Good
239,25,2.7,Below Average
240,31,3.5,Average
241,33,3.8,Average
242,36,3.7,Average
243,39,3.6,Average
244,20,4.2,Good
245,22,4.1,Good
246,36,3.5,Average
247,30,4.5,Excellent
248,33,3.6,Average
249,32,3.9,Average
250,21,4.1,Good
251,37,3.9,Average
252,32,3.7,Average
253,20,4.1,Good
254,36,3.6,Average
255,32,,Below Average
256,26,,Below Average
257,35,3.8,Average
258,38,3.6,Average
259,37,3.1,Below Average
260,28,4.2,Good
261,29,4.2,Good
262,15,1.0,Below Average
263,35,3.5,Average
264,20,3.1,Below Average
265,36,3.8,Average
266,24,3.5,Average
267,33,3.7,Average
268,28,4.4,Good
269,20,2.7,Below Average
270,29,4.1,Good
271,30,4.0,Good
272,26,3.5,Average
273,37,3.7,Average
274,39,3.7,Average
275,38,3.5,Average
276,23,3.1,Below Average
277,37,3.5,Average
278,35,3.2,Below Average
279,28,3.3,Below Average
280,25,,Below Average
281,20,4.0,Good
282,50,6.0,Excellent
283,21,3.7,Average
284,27,3.5,Average
285,22,2.6,Below Average
286,29,3.6,Average
287,23,4.3,Good
288,21,2.6,Below Average
289,26,4.2,Good
290,24,4.0,Good
291,34,3.6,Average
292,28,3.9,Average
293,26,3.4,Below Average
294,20,3.6,Average
295,28,3.8,Average
296,34,3.4,Below Average
297,37,,Below Average
298,28,3.2,Below Average
299,21,2.8,Below Average
300,33,3.5,Average
301,23,2.8,Below Average
302,25,3.2,Below Average
303,29,3.4,Below Average
304,22,3.3,Below Average
305,39,3.9,Average
306,25,3.7,Average
307,34,3.3,Below Average
308,29,2.9,Below Average
309,23,4.0,Good
310,31,3.8,Average
311,31,3.7,Average
312,29,3.9,Average
313,20,2.9,Below Average
314,21,,Below Average
315,24,,Below Average
316,30,3.6,Average
317,23,3.8,Average
318,28,3.6,Average
319,31,3.6,Average
320,27,3.7,Average
321,28,3.5,Average
322,24,3.2,Below Average
323,24,2.9,Below Average
324,31,3.4,Below Average
325,22,,Below Average
326,25,3.4,Below Average
327,21,3.8,Average
328,23,3.5,Average
329,36,3.2,Below Average
330,33,3.0,Below Average
331,22,3.7,Average
332,20,3.8,Average
333,38,,Below Average
334,34,3.1,Below Average
335,29,2.7,Below Average
336,25,3.1,Below Average
337,23,3.3,Below Average
338,23,2.7,Below Average
339,30,3.5,Average
340,20,3.2,Below Average
341,31,3.2,Below Average
342,28,,Below Average
343,22,2.5,Below Average
344,22,3.2,Below Average
345,24,3.4,Below Average
346,20,2.6,Below Average
347,21,3.1,Below Average
348,22,3.6,Average
349,27,2.7,Below Average
350,24,3.8,Average
351,39,,Below Average
352,22,3.9,Average
353,24,3.7,Average
354,24,3.3,Below Average
355,26,3.2,Below Average
356,23,2.9,Below Average
357,33,3.2,Below Average
358,33,3.4,Below Average
359,27,2.5,Below Average
360,29,3.8,Average
361,33,,Below Average
362,35,,Below Average
363,25,3.9,Average
364,27,3.4,Below Average
365,29,3.5,Average
366,39,3.4,Below Average
367,20,3.7,Average
368,27,3.2,Below Average
369,26,2.8,Below Average
370,30,,Below Average
371,20,,Below Average
372,21,3.6,Average
373,27,3.9,Average
374,29,3.1,Below Average
375,21,3.4,Below Average
376,36,3.9,Average
377,29,,Below Average
378,23,3.6,Average
379,39,3.1,Below Average
380,30,3.0,Below Average
381,24,2.8,Below Average
382,25,2.9,Below Average
383,37,3.3,Below Average
384,24,3.1,Below Average
385,36,,Below Average
386,26,2.7,Below Average
387,25,3.5,Average
388,37,3.4,Below Average
389,25,2.5,Below Average
390,23,3.9,Average
391,21,2.9,Below Average
392,21,2.7,Below Average
393,29,2.6,Below Average
394,35,3.4,Below Average
395,35,3.3,Below Average
396,29,2.8,Below Average
397,20,2.8,Below Average
398,24,3.9,Average
399,31,,Below Average
400,22,2.8,Below Average
401,35,3.1,Below Average
402,29,3.3,Below Average
403,26,3.3,Below Average
404,28,3.1,Below Average
405,25,2.6,Below Average
406,21,2.5,Below Average
407,28,3.4,Below Average
408,38,3.2,Below Average
409,25,2.8,Below Average
410,28,2.6,Below Average
411,36,3.3,Below Average
412,28,2.8,Below Average
413,27,3.1,Below Average
414,23,3.2,Below Average
415,28,2.5,Below Average
416,24,2.7,Below Average
417,34,3.0,Below Average
418,27,2.8,Below Average
419,22,2.9,Below Average
420,37,3.2,Below Average
421,34,,Below Average
422,21,3.5,Average
423,26,3.6,Average
424,23,3.7,Average
425,26,2.9,Below Average
426,26,3.1,Below Average
427,39,3.0,Below Average
428,22,3.8,Average
429,27,2.9,Below Average
430,21,3.9,Average
431,22,2.7,Below Average
432,27,,Below Average
433,28,3.7,Average
434,26,3.7,Average
435,26,2.5,Below Average
436,26,3.8,Average
437,24,3.6,Average
438,23,3.4,Below Average
439,30,3.2,Below Average
440,33,3.1,Below Average
441,36,3.0,Below Average
442,38,3.4,Below Average
443,27,3.8,Average
444,27,3.3,Below Average
445,32,3.4,Below Average
446,28,2.7,Below Average
